textname,urlname,textpitch,textsummary,textindustry,textstage,Location,Funding Stage,Capital Seeking,Currency,Security Type,Pre-Money Valuation,Valuation Cap,Conversion Discount,Interest Rate,Term Length (months),Previous Capital,Deal Labels,Deal Leads,Observing Investors,Considering Investors,Committed Investors,Invested Investors,Not Interested Investors,Aggregate Rating,Created On,Additional Questions
Touria™,http://gust.com/deals/1165363,"TOURIA is a lifestyle brand that builds innovative products, connects communities, and creates experiential events to help unlock human productivity.","TOURIA is in early-stage startup mode, creating a new lane within work from anywhere for individuals in a business or learning environment. The current vision is a 3-prong approach: first with the launch of consumer products that enhance productivity and creativity. Next to bring individuals together through community connectivity (App) and social media. Finally, conjoining those two through curated experiences and events.
",Consumer Products,Product In Development,"Philadelphia, PA, USA",series_seed,150000,$,Preferred Equity,4000000,N/A,N/A,N/A,N/A,10500,2021 SAC 19,,1,0,0,0,0,3.138888889,02/25/2021,"Question: Referred By - Answer: Nicole Mirchandani
Kate Fuller Ghaffari"
Easeenet.com,http://gust.com/deals/1165364,"Your digital estate, made easy","Easeenet makes your online life easy to see-- for you today, & your family tomorrow.

For you today, enjoy an easy-to-use, organized password manager.

For your family tomorrow, we help you effortlessly organize & preserve your digital estate, with document storage & sharing, journaling, & a legacy worksheet to capture critical life details.

We launched in April 2020 & have ~2,600 paying subscribers.

More info: https://onepager.vc/easeenet",Consumer Services,Product In Market,"Portland, OR, USA",series_seed,1000000,$,Convertible Note,,5000000,N/A,N/A,N/A,225000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,1,0,0,0,3.69047619,02/25/2021,Question: Referred By - Answer:
SensoDrive Technology,http://gust.com/deals/1165370,"SensoDrive's marketplace connects multi-modal transport to parking and charging in multi-story buildings on-demand, anytime regardless of any gated barriers.","More than 30% of all parking, EV charging, bike cages in cities like Vancouver are behind secure gates and unused. This is missed revenue opportunity for building owners. At the same time, carshares and delivery fleets pay lots in parking & towing fees. SensoDrive brings these parties together in a new marketplace. Its platform solves the first & last mile challenge for multi-modal transport to have flexible on-demand access at affordable rates.",Clean Technology,Product In Market,"Vancouver, BC, Canada",series_seed,200000,$,Convertible Note,,6500000,15,2,36,260000,2021 SAC 19,,1,1,0,0,0,3.472222222,02/25/2021,"Question: Referred By - Answer: Troy DeFrank, Edwina Ramirez, Rob Fiddick, John Sechrest"
Scout9,http://gust.com/deals/1165374,In-Context Commerce for dogs -  empowering pet partners to manage their dog’s life events - making smarter decisions centered around their wellbeing.,"We provide personalized Pocket Scouts that guide users in dealing with their dog’s individual life events and automatically scout the market to build solutions based on who they - and their dogs - are as individuals. 

For $8/mo or 10% of your order, our AI will automatically acquire goods and schedule appointments for your dog's life events on your behalf. Allowing you to track and improve your dog's wellbeing in the process. ",Consumer Services,Prototype Ready,"Seattle, WA, USA",friends_and_family,350000,$,Common Equity,5800000,N/A,N/A,N/A,N/A,260000,2021 SAC 19,,0,0,0,0,0,2.930555556,02/25/2021,Question: Referred By - Answer: John Sechrest
SportsTrace,http://gust.com/deals/1165375,Sports training software solution for the Sports $16B Player Tracking and Analytics segment.,"SportsTrace delivers AI video automation to help athletes succeed. Whether on the field of play or in the training room, use your phone and SportsTrace does the rest. SportsTrace provides more than data - you get actionable recommendations and personalized insights to help you understand how to more easily get better - faster.",Sports,Full Product Ready,"Sammamish, WA, USA",series_seed,750000,$,Convertible Note,,7500000,N/A,N/A,N/A,135002,2021 SAC 19,,0,0,0,0,0,3.4,02/25/2021,Question: Referred By - Answer:
innov8.ag,http://gust.com/deals/1165376,"Empowering growers with data, bringing together disparate on & off-farm data to enable farmers to make informed management decisions based on Machine Learning.","innov8.ag enables data-informed farming for agricultural producers, bringing together disparate on & off-farm data to enable farmers to make informed management decisions based on Machine Learning (ML). Our differentiated approach leverages agronomist expertise through PhD researchers from land-grant universities & ag-centric colleges; providing them with data sources, big data capabilities, & ML tools paired with farmer expertise and experience.",Agriculture,Prototype Ready,"Walla Walla, WA, USA",series_seed,2500000,$,Convertible Note,,N/A,20,N/A,N/A,370000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,4,0,0,0,0,3.729166667,02/25/2021,Question: Referred By - Answer: WTIA
seeCOLe (see Clinical data On Lens),http://gust.com/deals/1165378,seeCOLe is an augmented reality app that empowers Clinicians to document & navigate the EHR hands-free using voice commands and displays info on glasses.,"seeCOLe stands for (see Clinical data On Lens) and is an augmented reality (AR) health app designed to make it easier for clinicians to access, edit, and review patient data from the EHR hands-free by voice command. 
 
- Based on Google Glass and Vuzix Blade platforms
- Serves as a perfect rounding tool, allowing providers to navigate medical records hands-free
",Healthcare Services,Full Product Ready,"Sunrise, FL, USA",series_seed,300000,$,N/A,,N/A,N/A,N/A,N/A,,2021 SAC 19,,1,1,0,0,0,2.5,02/25/2021,Question: Referred By - Answer:
Votegrity Inc,http://gust.com/deals/1165394,Votegrity brings the ballot box to the voter with end-to-end verification.,"Votegrity helps its customers run better elections.  We deliver state of the art online election services enabling organizations to conduct their elections more efficiently and cost effectively, while increasing voter participation, confidence, and satisfaction.  Our Election Success Experts can help your organization enjoy the benefits of moving your voting process online while removing wasted paper and postage.",Software,Product In Market,"Seattle, WA 98111, USA",series_seed,250000,$,Convertible Note,,2000000,20,6,18,55000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,1,0,0,0,0,3.75,02/25/2021,Question: Referred By - Answer: Brianna McDonald
City Pods,http://gust.com/deals/1165397,The most cost-effective solution to scale affordable accommodations,"City Pods efficiently convert underutilized real estate into temporary accommodations. Affordable housing for people experiencing homelessness will take decades to construct using traditional methods. Plus, with integrated hotel technology, City Pods is positioned to provide hostel travelers, seasonal workers in expensive resort areas, and weary travelers at major airport terminals with affordable accommodations.",Real Estate,Product In Development,"Seattle, WA, USA",series_seed,500000,$,Convertible Note,,3000000,15,5,24,100000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,5,0,0,0,0,3.948717949,02/25/2021,Question: Referred By - Answer:
SaaSMAX Corp.,http://gust.com/deals/1165403,PartnerOptimizer by SaaSMAX uses big data to help B2B technology companies find resellers and sales partners.,"Did you know that 65% ($2.4T) of all B2B tech sales go through resellers?! SaaSMAX is the first global reseller partner discovery and insights SaaS platform for tech companies that go-to-market through reseller partners. Our proprietary data and SaaS platform eliminate manual, expensive processes; accelerate reseller recruitment and sales; and improve productivity. Customers include HP, LogMeIn and other well-knowns. Case studies on saasmax.com.",Software,Product In Market,"San Diego, CA, USA",series_seed,5000000,$,Common Equity,,N/A,N/A,N/A,N/A,825000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,2,0,0,0,0,3.62962963,02/25/2021,Question: Referred By - Answer: Invited by Wes Johnson
Authentic Herbals,http://gust.com/deals/1165406,"Joyroot creates, makes and sells low sugar, USDA organic, plant-based food and beverages that are both nutritious and refreshing.  ","Joyroot creates value added, low sugar, organic beverages.  The brand's first products are ready-to-drink, herbal teas.  

Ancient herbal ingredients, tulsi (aka holy basil) and hibiscus, are the anchor ingredients in the line up. Tulsi is sourced directly from a farm in Oregon. Real fruit is blended with herbal teas, creating pleasantly refreshing products.  

Products are sold direct-to-consumer, to distributors and to retailers. ",Food and Beverage,Product In Market,"Seattle, WA 98111, USA",series_seed,200000,$,Convertible Note,,12000000,20,8,18,,2021 SAC 19,,3,0,0,0,0,2.981481481,02/25/2021,Question: Referred By - Answer:
Mindbase,http://gust.com/deals/1165408,Mindbase is a detection and intervention platform for critical teams designed to identify at-risk personnel during calls-for-service for on-demand support.,"Mindbase aims to be the leader in detection and intervention that improves the mental health of first responders. By integrating into public safety agency dispatch systems, our app proactively provides guided support and coordinated care to personnel when they need it most by evaluating their incident exposure and provides public safety leaders the ability to intervene before health issues have an affect on personnel and the agency.",Software,Product In Market,"Seattle, WA, USA",series_seed,150000,$,Convertible Note,,1400000,20,7,18,25000,2021 SAC 19,,1,0,0,0,0,3.111111111,02/25/2021,Question: Referred By - Answer: Minda Brusse
Wisecube AI,http://gust.com/deals/1165410,Biomedical knowledge engine that synthesizes the world's exponentially growing datasets to help accelerate drug discovery & clinical research.,"Biomedical data is growing at an exponential rate and scientists and clinicians are unable to keep up causing major delays in care. Our biomedical knowledge engine synthesizes all of this data into a semantic graph and helps accelerates drug discovery R&D & clinical decision support. We do this through our patent pending AI/ML platform built by our team of AI/ML, cloud & UI veterans. We monetize our offering through SaaS based product licensing.",Healthcare Services,Product In Market,"Seattle, WA, USA",series_seed,500000,$,Convertible Note,,5000000,20,5,60,400000,2021 SAC 19,,3,0,0,0,0,3.30952381,02/25/2021,Question: Referred By - Answer: Greg Chappell
Community Collaboratory,http://gust.com/deals/1165413,"Community Collaboratory is a website/app that makes it easy for community members to offer and receive brief, safe, and flexible social support.","Community Collaboratory (CC) is developing a website/app that allows community members to offer and request brief, safe, and flexible social support locally. Community Collaboratory primarily uses a B-B business model and hopes to partner with health insurance companies and hospitals to reduce re-hospitalizations and annual medical claims for adults with disabilities. ",Healthcare Services,Prototype Ready,"Seattle, WA, USA",friends_and_family,100000,$,Preferred Equity,,N/A,N/A,N/A,N/A,0,2021 SAC 19,,0,0,0,0,1,2.583333333,02/25/2021,"Question: Referred By - Answer: Dr. Will Canestaro, PhD, WRF Capital"
Play World,http://gust.com/deals/1165436,A fresh look at Family indoor entertainment and alternative education.,"Family and Education: Large part of our business model is focused on delivering education in such way that is understandable and fun for entire family. Diversity in Play: Our business model is designed in such way that will never get boring for anyone attending. Food: Latest trends in fun centers across the US is built in restaurants. Business has a great growth potential. Remember: Our kids define our future, we define their present.",Gaming,Prototype Ready,"Seattle, WA, USA",series_seed,1200000,$,Convertible Note,,2200000,N/A,4,36,,2021 SAC 19,,0,0,0,0,2,2.791666667,02/25/2021,Question: Referred By - Answer: Wes
ControlMap Inc.,http://gust.com/deals/1165437,ControlMap helps companies WIN MORE DEALS & GARNER MORE TRUST by automating and accelerating their path to cybersecurity compliance & audit readiness.,"ControlMap Cybersecurity Assurance Platform helps companies win more deals and garner more trust by becoming audit-ready in few days compared to months.  The in-built cloud compliance posture management gives ControlMap an edge over other players in this space. Lead by a well-rounded team and with early traction, ControlMap revenues are projected to be $100K in  Q1. The primary focus for sale is via Channel Partners and Managed Service Providers",Software,Product In Market,"Bellevue, WA, USA",series_seed,700000,$,Convertible Note,,4000000,10,N/A,N/A,,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,0,0,0,0,3.238095238,02/25/2021,Question: Referred By - Answer: No. Found by GUST
Kinisi,http://gust.com/deals/1165440,Kinisi is a digital health start up that combines real-time wearable sensor data with cloud medical-grade diagnostics for orthopedic and rehab applications.,"Kinisi (a hardware enabled SaaS company) fuses wearable sensors with cloud diagnostics for orthopedic, training, and rehab applications.

Our K1 wireless skin for the knee that streams 50+ dimensions of joint motion data in real-time to our dashboard. Trainers, athletes, and doctors, can use data to prevent injuries, train-better, and improve performance.

Kinisi will expand to workplace, clinical, military, and general health in the future.
",Software,Prototype Ready,"Santa Cruz, CA, USA",series_seed,950000,$,Convertible Note,,N/A,N/A,N/A,N/A,,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,2,0,0,0,0,2.991666667,02/25/2021,Question: Referred By - Answer:
BuzzIt Inc,http://gust.com/deals/1165458,The Powersuit for Your Livestream Event,"Event hosts are stuck. Livestreams are not enough, and they're losing relevancy because of it. Virtual Platforms are attractive but unrealistic. Our clients pair BuzzIt with their livestream to offer participants what they're missing: a way to discover, interact and connect with each other before, during and after the event.

We sell unlimited event subscriptions with an aim to become part of our clients daily toolkits.",Software,Product In Market,"Vancouver, BC, Canada",series_seed,500000,$,Common Equity,2500000,N/A,N/A,N/A,N/A,129500,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,0,0,0,0,3.548611111,02/25/2021,Question: Referred By - Answer:
Symbiosis LLC,http://gust.com/deals/1165537,We are the WeWork++ for Physicians and Healthcare providers.,"Symbiosis provides practice-in-a-box healthcare practice management solutions, including co-located practice space, front and back office, marketing, managed using our task based proprietary practice management software. 

Our solutions enable healthcare professionals to start and grow their own private practices in a fraction of the time and cost it would take them otherwise.

Current MRR is $21k, serving 30 providers across 13 clinics.",Healthcare Services,$500K in TTM Revenue,"Washington D.C., DC, USA",series_seed,500000,$,Convertible Note,,2500000,15,6,24,,2021 SAC 19,,1,0,0,0,0,3.4375,02/26/2021,Question: Referred By - Answer: Vikram Wani
Nurse Screen App,http://gust.com/deals/1165538,"A digital occupational health tool that makes it easy to keep workers informed, safe, and healthy.","Nurse Screen App is a self-screening tool based on CDC guidelines, education, and resources in one location.

Business model is based on a one-time project fee and monthly subscription based on users. Also, consulting and onsite services based on need. 

There is a potential source of revenue with partnerships with providers, labs, pharmacies, and personal protective equipment suppliers.
",Healthcare Services,Product In Market,"Tulsa, OK 74102, USA",founder,200000,$,Convertible Note,,N/A,N/A,N/A,N/A,,2021 SAC 19,,0,0,0,0,1,1.361111111,02/26/2021,Question: Referred By - Answer: Nursing Innovation Hub
"Rock Stable Token, Inc.",http://gust.com/deals/1165539,"We are using a USD-equivalent stablecoin, ROKS, to help Filipino overseas workers reduce the cost of sending money back home to support their families.","There are 10 million Filipinos working outside of the Philippines. They send money back home regularly, to the tune of $32.21 billion last year. Traditional methods of remittance cost Filipino overseas workers about 5% of the amount sent. Using our stablecoin ROKS, we can reduce this cost down to 1% or even less.

Initially, ROKS remittance cost is between 2 to 3% which will go down to 1% by popularizing the use of ROKS as medium of exchange",Fintech,Prototype Ready,"Bellevue, WA, USA",series_seed,200000,$,Common Equity,2500000,N/A,N/A,N/A,N/A,121000,2021 SAC 19,,0,0,0,0,2,2.541666667,02/26/2021,"Question: Referred By - Answer: Wes Johnson, John Sechrest"
Neupeak Robotics,http://gust.com/deals/1165540,AI enabled autonomous robots addressing fruit harvesting challenges,"Neupeak has developed Autonomous robots that operate 3X human pickers’ efficiency when compared side by side (including costs, speed, operating hours and conditions). 
Our current model involves selling a fruit picking service to the farmers. We will be competitive with human pickers by charging a $0.35 for every pound of strawberries we pick, which directly translates to a total market of $3B/Yr in North America alone. ",Agriculture,Prototype Ready,"Surrey, BC V3Z 3V7, Canada",series_seed,500000,$,Convertible Note,,4000000,20,5,24,,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,6,0,0,0,0,3.5,02/26/2021,Question: Referred By - Answer:
Jar,http://gust.com/deals/1165542,Our app facilitates the distribution of valued consumer products to users through a skill-based variation of an all-pay auction.,"We are a partnership that is developing a web-app that allows users to participate in a variation of an all-pay auction process for consumer products. Users will be able to connect to a third-party payment system and place bids on specific items. When items are ""live,"" users can view information to help them decide when to place their bid. The timing of the bid relative to a threshold of accumulated bids will determine who receives the item.",Mobile,Product In Development,"Portland, OR, USA",friends_and_family,,$,N/A,,N/A,N/A,N/A,N/A,,2021 SAC 19,,0,0,0,0,1,1.880952381,02/26/2021,Question: Referred By - Answer:
RailVision Analytics,http://gust.com/deals/1165543,"We are building a transportation enterprise solution that uses AI to help railroads save fuel, improve safety, and predict maintenance operations.","We are a B2B SaaS business using AI to help railroads save fuel, improve safety, and predict maintenance operations.

Our software uses a company's data to suggest driving improvements to save fuel, all while providing transparency for vehicle performance, health, and suggested maintenance actions.

We have already completed a proof-of-concept project for Metrolinx which is currently saving over 1.5M litres of diesel annually.
",Transportation,Prototype Ready,"Montreal, QC, Canada",series_seed,600000,$,Convertible Note,,4000000,20,5,36,,2021 SAC 19,,2,0,0,0,0,3.666666667,02/26/2021,"Question: Referred By - Answer: Centech Propulsion Program (Montreal, QC, Canada)"
Crowd Capital,http://gust.com/deals/1165550,Enabling US families to keep their homes and regain financial stability,Crowd Capital is launching a fully-integrated fintech platform powered by machine learning to help hundreds of thousands of US families facing foreclosure keep their homes and become financially stable while maximizing returns for investors in a socially responsible way. Our team has already proven the solution across a $50M portfolio of non-performing residential notes with demonstrated market-beating returns.,Fintech,Product In Development,"Miami, FL, USA",friends_and_family,1000000,$,Convertible Note,,5000000,20,N/A,N/A,222000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,5,0,0,0,0,3.555555556,02/26/2021,Question: Referred By - Answer: Noel G. - Saw our profile on AngelList and contacted us through LinkedIn
FriendWithA,http://gust.com/deals/1165551,A fully insured peer to peer rental marketplace to borrow almost anything.,"FriendWithA is a fully insured peer to peer rental marketplace to borrow almost anything. Either browse gear for rent, or earn up to $1,000 a month renting out your unused equipment. 

Founded in 2018, FriendWithA has generated over $60,000 in rentals since inception and grew 5x from 2019 to 2020. 

Earning 42% per transaction. Building the brand with everyday items, and eventually capturing larger more lucrative markets like cars and boats. ",Marketing / Advertising,Product In Market,"Seattle, WA, USA",other,750000,$,Convertible Note,,2500000,20,2,24,150000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,0,0,0,0,3.537878788,02/26/2021,Question: Referred By - Answer: John Sechrest
AWL-Electricity,http://gust.com/deals/1165552,We transfer wireless electricity to power various mobile devices.,"AWL-Electricity is a Montreal-based company specializing in wireless electricity transfer; the next generation of power transfer that will allow industries to reach their full potential. We have already generated strong traction from our clients and partners, due to the adaptable design and endless opportunities for commercialization. The transfer of electricity is made by a transmitter and a receiver.",Other,Product In Development,"Montreal, QC, Canada",series_seed,800000,$,Convertible Note,,50000000,80,0,48,25000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,2,0,0,0,0,3.380952381,02/26/2021,Question: Referred By - Answer: Centech: Montreal Incubator from ETS (École de Technologie Supérieure)
"TartanHUB, Inc.",http://gust.com/deals/1165555,Delivering easy-to-use Shipment Visibility to Freight Forwarders and their Shipper customers,"TartanHUB’s Shipment Visibility product is designed for Freight Forwarders and their Shipper customers. Freight Forwarders pay us a monthly subscription for access to various product tiers (with unlimited users) and an incremental charge for each shipper. 

We make tracking complex international logistics business shipments as intuitive as how Amazon displays your toilet paper’s delivery status.
",Internet / Web Services,Prototype Ready,"Seattle, WA, USA",friends_and_family,760000,$,Convertible Note,,7000000,20,6,30,,2021 SAC 19,,0,0,0,0,0,2.8,02/26/2021,"Question: Referred By - Answer: WTIA Cohort 5 - Dave Parker, Nick Ellingston"
Job Swiper,http://gust.com/deals/1165556,Job Swiper uses dating site technology to help users swipe right on their perfect job!,"Job Swiper is built on the idea that when we're looking for a new job or employee, we're really looking for a long term relationship. I use dating site ideas and tech, to match companies to their perfect employee. Job seekers can boost their own presence to companies per hour, week, month or quarter with a subscription. Employers can list jobs for a low fee, or pay extra to be featured. ",Mobile,Prototype Ready,"Tacoma, WA, USA",series_seed,300000,$,Common Equity,4000000,N/A,N/A,N/A,N/A,,2021 SAC 19,,1,0,0,0,0,2.3,02/26/2021,Question: Referred By - Answer: Meetup
Streamline Athletes,http://gust.com/deals/1165565,"Streamline Athletes is a sports recruitment platform that democratizes access to education and sport for athletes, while saving colleges time and money.","Streamline Athletes is a two-sided platform that services high school student-athletes in their recruitment journeys to the collegiate level and offers recruitment solutions to college and university sports programs.

We democratize access to sport and education; save athletes and families time and money, while instilling confidence in their post-secondary decision; and save 80% of time and money collegiate coaches currently spend on recruiting. ",Software,Product In Market,"Vancouver, BC, Canada",series_seed,1000000,$,Preferred Equity,,N/A,N/A,N/A,N/A,422500,2021 SAC 19,,1,0,0,0,0,3.19047619,02/26/2021,"Question: Referred By - Answer: Jon Harris - BuzzIt
Susan Blanchet - Origen Air
Aman Thind - Nava Ventures"
"Lurve, Inc.",http://gust.com/deals/1165566,"Lurve is designed to be the first member-centered, neuro-integrated, ad-free, social platform.","Lurve provides a safe social experience on an exclusive platform for screened, paying members. Events are made accessible to members and the general public. Content is curated and shared in a 24/7 radio, a visual art gallery, a Lurve-approved business directory, and a library with verifiable new sources. Monthly e-zines include the platform's most-lurved content, Lurve's Culture Guide, and are made available to members and the general public.",Internet / Web Services,Product In Development,"Olympia, WA, USA",series_seed,250000,$,Convertible Note,,2000000,20,6,12,,2021 SAC 19,,1,0,0,0,0,2.785714286,02/26/2021,Question: Referred By - Answer: Dave Parker and John Sechrest.
Cascadia Carbon,http://gust.com/deals/1165569,"""Fitbit for Carbon"" - Democratizing the Voluntary Carbon Offset Markets with carbon-neutral, crowdsourced carbon credits. ","Carbon Codex calculates your carbon footprint from your personal travel and generates carbon offsets when you bike, walk, use an EV, and make other low-carbon and ecological choices. By using our patented carbon-neutral cryptocurrency token, CODEX, you can monetize your ecological actions with ""crowdsourced carbon credits"" including you as a offset producer into the $10 billion dollar per year voluntary carbon offset market.",Clean Technology,Prototype Ready,"Vancouver, BC, Canada",series_seed,888000,$,Convertible Note,,4800000,90,7,72,150000,2021 SAC 19,,1,1,0,0,0,2.461538462,02/26/2021,Question: Referred By - Answer: David Rose
PopSmartKids,http://gust.com/deals/1165570,A writing solution that empowers early childhood educators to inspire even the most reluctant writer. Reimagine engaged learning.,"PopSmartKids is a learning solution that empowers early-childhood educators to inspire the next generation of writers.
Children hate writing while it continues to be the most essential skill no matter what career paths students chose.
Our storywriting app PopSmartWrite makes writing fun for elementary students by incorporating art, images and drawing. It allows teachers to efficiently mentor students, and track progress. ",Education,Product In Market,"Seattle, WA, USA",series_seed,500000,$,Convertible Note,,N/A,N/A,N/A,N/A,,2021 SAC 19,,2,0,0,0,0,2.712121212,02/26/2021,Question: Referred By - Answer: John Sechrest
esguard.io Corporation,http://gust.com/deals/1165586,Internet Protection for the Rest of Us,"Sentrie personal cybersecurity technology from esguard.io Corporation provides consumers with a new comprehensive, easy-to-use solution to protect their personal privacy and security while stopping advertisements, tracking systems, and phishing schemes on their mobile devices. Sentrie is monetized as a subscription-based app at less than $2/month.  Sentrie has been commercialized on the Google Play Store since 2019 with more than 54,000 users. ",Security,Product In Market,"San Diego, CA 92154, USA",series_seed,1100000,$,Convertible Note,,5000000,20,6,36,40000,2021 SAC 19,,3,0,0,0,1,3.371212121,02/26/2021,Question: Referred By - Answer: Jerry Yen
HealthFlow.io,http://gust.com/deals/1165636,"Health care delivery is broken, driven by reimbursement, fragmented by disparate care and stovepiped systems, and friction-filled for patients and providers. ","HealthFlow is Mint for health care.  Our patient-centric SaaS platform allows everyone to benefit from coordinated care, higher visibility of their health data and health care journey, and immediate access to their health record (to include dental and vision records), and care profile. HealthFlow destroys the differentiator between those who have and those who have not.

We democratize seamless, concierge health care delivery for everyone.",Medical Devices and Equipment,Product In Development,"Alexandria, VA, USA",series_seed,250000,$,N/A,,N/A,N/A,N/A,N/A,27000,2021 SAC 19,,5,0,0,0,0,2.166666667,02/26/2021,Question: Referred By - Answer: Wes Johnson
FiveForces,http://gust.com/deals/1165638,Creating the worlds first holistic disaster management business for preparation and response.,"Five Forces is a for profit disaster preparation and response start-up. Nobody is targeting a comprehensive community integrated solution. We have identified three target areas with basic traction in each: Family Emergency Syatem, Nat. Community Prep Service, Supplies Air Drop System. Air Drop has emerged as likely first revenue within 3 months. Our business models are: Consumer Product; Business Product, IP License, Public Private Partnership. 
",Consumer Products,Product In Development,"Seattle, WA, USA",series_seed,350000,$,Common Equity,3500000,N/A,N/A,N/A,N/A,15000,2021 SAC 19,,1,0,0,0,0,3.291666667,02/26/2021,Question: Referred By - Answer: John Sechrest
Lambda Science,http://gust.com/deals/1165650,AI-powered solutions to help build more energy efficient homes,"We address the data and communication gap in the small residential construction sector by supplying our customers with AI-powered new generation of building designs capable of maintaining exceptional occupant comfort without increase in construction costs. 
Target market: governments/ cities, homebuilders, homeowners
Business Model : License-based, subscription per active project, savings-based
(quantized), partnerships and affiliations.
",Clean Technology,Product In Market,"Vancouver, BC, Canada",series_seed,500000,$,Common Equity,3000000,N/A,N/A,N/A,N/A,,2021 SAC 19,,2,1,0,0,0,3.458333333,02/26/2021,Question: Referred By - Answer:
Violett Inc.,http://gust.com/deals/1165655,"Violett uses UVC light to kill airborne pathogens, including SARS-CoV-2, safely near people and directly in the air instead of only on surfaces.","Violett developed a new technology to disinfect airborne pathogens and will revolutionize the air purification industry. By increasing the time air remains inside of an internal UVC disinfecting chamber by 50x, Violett kills viruses in one pass through the device. Competing products either trap and accumulate pathogens in filters, or take significantly longer to disinfect the air. Pay per unit cost plus recurring revenue for replacement parts.",Electronics / Instrumentation,Prototype Ready,"Gig Harbor, WA 98332, USA",series_seed,1000000,$,Convertible Note,,6000000,25,7,18,,2021 SAC 19,,2,0,0,0,0,3.555555556,02/27/2021,"Question: Referred By - Answer: Minda Brusse, First Row Partners, via a UW CoMotion Due Diligence presentation."
EduFunder,http://gust.com/deals/1165668,We make it easy for impact-driven brands to win over the most powerful consumer demographic on the planet by sponsoring GenZ's education in real-time.,"Welcome to EduFunder! 

EduFunder = ""Edu""cation ""fund""ing for the next generation of academic all stars.

EduFunder fast tracks money to bright and aspiring students to help pay for college or university.

We match verified students with donations, sponsorship money and scholarship awards, in real-time.

Our revenue model is like GoFundMe that averages 10% of donations in platform ""tips"", generating $10M profit per 100,000 students.

",Fintech,Full Product Ready,"Nelson, BC, Canada",series_seed,500000,$,Common Equity,500000,N/A,N/A,N/A,N/A,,2021 SAC 19,,3,0,0,0,0,2.993055556,02/27/2021,Question: Referred By - Answer: Kate Fuller Ghaffari
CloudPlex.io,http://gust.com/deals/1165675,"CloudPlex.io is a low-code SaaS platform for cloud application developers, eliminating inefficiencies in the cloud application development process.","Cloudplex SaaS platform simplifies cloud application development, increases the productivity of the developers by 40%, cuts down time to market by 25%, and reduces productivity losses to the enterprise by billions. Like GitHub and Atlasssian, we offer a freemium model - free for small-scale development, value grows with scale & production. Our users are developers, and the enterprises are the paying customers. Our user base is growing rapidly.",Software,Product In Market,"Redmond, WA, USA",series_seed,250000,$,Convertible Note,,8000000,20,5,18,,2021 SAC 19,,4,0,0,0,1,3.316666667,02/27/2021,Question: Referred By - Answer:
Hottrok,http://gust.com/deals/1165706,"Our product, Hottrok, is a performance-based tiling substrate that serves as a radiant heat carrier and has both thermal and acoustic insulating properties.
","Hottrok LLC operates as a retail/wholesale material provider for the construction industry distributing our own patent pending product: Hottrok. Its design allows the professional to set systems and complete his or her tiling projects in the most predictable, efficient and cost effective way. We plan to manage, market and distribute our product across the USA, Canada and beyond.
",Construction,Full Product Ready,"Newport News, VA, USA",series_seed,150000,$,Common Equity,,N/A,N/A,N/A,N/A,35000,,,0,0,0,0,0,3.083333333,02/27/2021,Question: Referred By - Answer:
Fresh Grease,http://gust.com/deals/1165747,"Bike maintenance made simple. 
Find compatible components for your bike, learn bike maintenance skills, and shop parts for mountain, road, and gravel bikes.","Fresh Grease is an eCommerce site that makes buying compatible parts for your bike easy. Instead of spending hours researching what parts to buy, performance cyclists enter their bike's make, model, and year on our site to receive personalized compatible part recommendations driven by our bike database and component compatibility algorithms. We generate revenue from commissions on dropship sales and licensing our database to cycling brands.",Retailing / Distribution,Product In Development,"Seattle, WA 98111, USA",friends_and_family,50000,$,Convertible Note,,N/A,N/A,N/A,N/A,10000,2021 SAC 19,,1,0,0,0,0,3.401515152,02/27/2021,"Question: Referred By - Answer: Gary Ritner of PSVC (Mentor conversation a long before launching Fresh Grease - ""when the time comes, apply"") "
Web42,http://gust.com/deals/1165835,"We connect neighbors more privately, securely and inclusively than ever before.","Web42 helps neighbors smoothly connect lives & resources. We expand local opportunities from within & without. We help bring back the neighborhood.

To accomplish this, we built KYN (Know Your Neighbors), a decentralized network of neighborhood networks. We are building human-centric dApps for neighbors to build IRL social networks & connect resources like enterprises. 

Our profit model does not exploit. It partners.
",Software,Prototype Ready,"Bremerton, WA, USA",founder,100000,$,Common Equity,,N/A,N/A,N/A,N/A,100000,2021 SAC 19,,1,1,0,0,1,2.316666667,03/01/2021,Question: Referred By - Answer: WTIA Founders Cohort
